,Longitude,Latitude,Booster_No,Booster_PropMass,Booster_StageMass,Stage1_PropMass,Stage1_StageMass,Stage2_PropMass,Stage2_StageMass,Stage3_PropMass,Stage3_StageMass,Stage4_PropMass,Stage4_StageMass,Fairing_Mass,H2O,H2,CO,CO2,BC,NOx,AI203,Cly
0,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
1,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
2,111.5,37.8,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
3,100.3,41.3,0,0.0,0.0,16000.0,621.0,8000.0,686.0,3000.0,183.0,1000.0,200.0,1756.0,8546000.0,679000.0,6198000.0,3174000.0,448000.0,10000.0,8856000.0,5859000.0
4,-52.8,5.2,2,480000.0,31000.0,170000.0,14700.0,14900.0,4540.0,0.0,0.0,0.0,0.0,2675.0,340584200.0,18471500.0,108960000.0,53760000.0,7680000.0,0.0,157440000.0,104160000.0
5,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
6,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
7,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
8,130.6,30.4,2,130000.0,21000.0,101100.0,12900.0,16900.0,3100.0,0.0,0.0,0.0,0.0,1400.0,164104000.0,7380000.0,29510000.0,14560000.0,2080000.0,0.0,42640000.0,28210000.0
9,53.920601,35.234338,0,0.0,0.0,63000.0,12700.0,8000.0,1600.0,185.0,230.0,0.0,0.0,120.0,27887870.0,288625.0,4940995.0,10670720.0,1138960.0,710000.0,60680.0,40145.0
10,-81.0,28.5,1,42630.0,3630.0,284089.0,21054.0,20800.0,2030.0,0.0,0.0,0.0,0.0,2305.0,131470920.0,4634640.0,100017312.0,185739253.0,6932038.0,0.0,13982640.0,9250710.0
11,-75.46,37.85,0,0.0,0.0,242200.0,19700.0,24924.0,1392.0,0.0,0.0,0.0,0.0,971.0,89875048.0,3045100.0,82677348.0,157072888.0,5727184.0,0.0,8175072.0,5408508.0
12,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
13,-52.8,5.2,2,480000.0,31000.0,170000.0,14700.0,14900.0,4540.0,0.0,0.0,0.0,0.0,2675.0,340584200.0,18471500.0,108960000.0,53760000.0,7680000.0,0.0,157440000.0,104160000.0
14,102.0,28.2,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
15,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,5750.0,960.0,0.0,0.0,1800.0,93894200.0,2718300.0,86107290.0,172553110.0,6021660.0,57500.0,0.0,0.0
16,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
17,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
18,111.0,19.6,4,301000.0,24000.0,174000.0,12250.0,65000.0,5750.0,18200.0,2740.0,0.0,0.0,2500.0,202855600.0,6037000.0,171720000.0,343980000.0,11880000.0,0.0,0.0,0.0
19,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
20,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
21,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
22,102.0,28.2,0,0.0,0.0,162706.0,10000.0,54667.0,4000.0,0.0,0.0,0.0,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
23,-81.0,28.5,5,213150.0,18150.0,284089.0,21351.0,20800.0,2030.0,0.0,0.0,0.0,0.0,3524.0,182967960.0,8897640.0,138725352.0,204837493.0,9660358.0,0.0,69913200.0,46253550.0
24,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,0.0,0.0,0.0,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
25,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
26,55.333,36.201,0,0.0,0.0,14400.0,2700.0,1500.0,200.0,398.0,133.33333333333334,0.0,0.0,100.0,4921996.0,407450.0,3699646.0,1825376.0,260768.0,0.0,5345744.0,3536666.0
27,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
28,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,0.0,0.0,0.0,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
29,111.0,19.6,4,574000.0,49000.0,158250.0,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,362588500.0,11278750.0,182532000.0,365638000.0,12628000.0,0.0,0.0,0.0
30,100.3,41.3,0,0.0,0.0,16000.0,621.0,8000.0,686.0,3000.0,183.0,1000.0,200.0,1756.0,8546000.0,679000.0,6198000.0,3174000.0,448000.0,10000.0,8856000.0,5859000.0
31,-81.0,28.5,0,0.0,0.0,284089.0,21351.0,20800.0,2030.0,0.0,0.0,0.0,0.0,3524.0,118596660.0,3568890.0,90340302.0,180964693.0,6249958.0,0.0,0.0,0.0
32,130.6,30.4,4,263800.0,42200.0,177800.0,24200.0,16600.0,3400.0,0.0,0.0,0.0,0.0,3200.0,285342800.0,13399000.0,59882600.0,29545600.0,4220800.0,0.0,86526400.0,57244600.0
33,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
34,118.1517,35.0594,0,0.0,0.0,20000.0,3000.0,2750.0,250.0,0.0,0.0,0.0,0.0,100.0,7735000.0,227500.0,7234500.0,14491750.0,500500.0,0.0,0.0,0.0
35,102.0,28.2,0,0.0,0.0,35000.0,4770.0,6237.0,795.0,3915.0,403.5,776.1,152.55,300.0,13870286.2,1148202.5,10425678.7,5143947.2,734849.6,0.0,15064416.799999999,9966397.7
36,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
37,100.3,41.3,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
38,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
39,111.5,37.8,0,0.0,0.0,162706.0,10000.0,54667.0,4000.0,0.0,0.0,0.0,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
40,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
41,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
42,100.3,41.3,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
43,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
44,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
45,111.5,37.8,0,0.0,0.0,183200.0,9500.0,35550.0,4000.0,14000.0,2000.0,0.0,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
46,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
47,100.3,41.3,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
48,34.7,31.9,0,0.0,0.0,12750.0,1240.0,12750.0,1376.0,1890.0,684.0,166.0,71.0,57.0,8336852.0,685414.0,6228984.0,3092580.0,440896.0,1660.0,8983920.0,5943630.0
49,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
50,100.3,41.3,0,0.0,0.0,76000.0,7530.0,15075.0,1490.0,480.0,520.0,0.0,0.0,1500.0,27649610.0,2288875.0,20782985.0,10254160.0,1464880.0,0.0,30030040.0,19867435.0
51,-75.46,37.85,0,0.0,0.0,45385.0,3610.0,24495.0,3190.0,7075.0,645.0,770.0,256.0,425.0,23472950.0,1943125.0,17643575.0,8705200.0,1243600.0,0.0,25493800.0,16866325.0
52,130.6,30.4,2,130000.0,21000.0,101100.0,12900.0,16900.0,3100.0,0.0,0.0,0.0,0.0,1400.0,164104000.0,7380000.0,29510000.0,14560000.0,2080000.0,0.0,42640000.0,28210000.0
53,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
54,111.0,19.6,4,574000.0,49000.0,158250.0,17500.0,24700.0,3460.0,0.0,0.0,0.0,0.0,3000.0,388721100.0,12143250.0,182532000.0,365638000.0,12628000.0,0.0,0.0,0.0
55,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,0.0,0.0,0.0,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
56,111.5,37.8,0,0.0,0.0,183200.0,9500.0,35550.0,4000.0,14000.0,2000.0,0.0,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
57,-81.0,28.5,4,170520.0,14520.0,284089.0,21351.0,20800.0,2030.0,0.0,0.0,0.0,0.0,3524.0,170093700.0,7831890.0,129048342.0,200062933.0,8978278.0,0.0,55930560.0,37002840.0
58,63.4,45.6,0,0.0,0.0,428300.0,30600.0,157300.0,11000.0,46562.0,3500.0,19800.0,2370.0,2000.0,255569104.0,2607848.0,44985378.0,97794300.0,10431392.0,6519620.0,0.0,0.0
59,100.3,41.3,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
60,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
61,-52.8,5.2,2,480000.0,31000.0,170000.0,14700.0,14900.0,4540.0,0.0,0.0,0.0,0.0,2675.0,340584200.0,18471500.0,108960000.0,53760000.0,7680000.0,0.0,157440000.0,104160000.0
62,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
63,100.3,41.3,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
64,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
65,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
66,-52.8,5.2,0,0.0,0.0,87710.0,8533.0,23814.0,2486.0,10567.0,1433.0,577.0,688.0,540.0,37097666.0,3054583.0,27754470.0,13760742.0,1962688.0,5770.0,40045848.0,26493747.0
67,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
68,100.3,41.3,4,157200.0,12400.0,186750.0,11000.0,88750.0,5500.0,0.0,0.0,0.0,0.0,6000.0,169618400.0,1730800.0,29856300.0,64905000.0,6923200.0,4327000.0,0.0,0.0
69,111.5,37.8,0,0.0,0.0,183200.0,9500.0,35550.0,4000.0,14000.0,2000.0,0.0,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
70,-152.2,57.6,0,0.0,0.0,9250.0,950.0,2100.0,250.0,0.0,0.0,0.0,0.0,44.0,3859000.0,113500.0,3609300.0,7229950.0,249700.0,0.0,0.0,0.0
71,100.3,41.3,0,0.0,0.0,16000.0,621.0,8000.0,686.0,3000.0,183.0,1000.0,200.0,1756.0,8546000.0,679000.0,6198000.0,3174000.0,448000.0,10000.0,8856000.0,5859000.0
73,100.3,41.3,0,0.0,0.0,183200.0,9500.0,35550.0,4000.0,14000.0,2000.0,0.0,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
74,111.5,37.8,0,0.0,0.0,183200.0,9500.0,35550.0,4000.0,14000.0,2000.0,0.0,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
75,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
76,-75.46,37.85,0,0.0,0.0,242200.0,19700.0,24924.0,1392.0,0.0,0.0,0.0,0.0,971.0,89875048.0,3045100.0,82677348.0,157072888.0,5727184.0,0.0,8175072.0,5408508.0
77,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
78,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
79,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,0.0,0.0,0.0,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
80,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
81,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
82,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
83,102.0,28.2,0,0.0,0.0,162706.0,10000.0,54667.0,4000.0,0.0,0.0,0.0,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
84,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
85,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
86,111.5,37.8,0,0.0,0.0,76000.0,7530.0,15075.0,1490.0,480.0,520.0,0.0,0.0,1500.0,31128700.0,915550.0,29114490.0,58320535.0,2014210.0,0.0,0.0,0.0
87,100.3,41.3,0,0.0,0.0,12750.0,1240.0,12750.0,1376.0,1890.0,684.0,166.0,71.0,57.0,8336852.0,685414.0,6228984.0,3092580.0,440896.0,1660.0,8983920.0,5943630.0
88,80.4,13.9,2,24400.0,4710.0,138600.0,30100.0,41500.0,5350.0,7625.0,900.0,2250.0,670.0,1125.0,68678750.0,4440625.0,41750625.0,25672500.0,3430000.0,437500.0,55965000.0,37025625.0
89,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
90,-81.0,28.5,3,132600.0,15300.0,284089.0,21351.0,20800.0,2030.0,0.0,0.0,0.0,0.0,3524.0,158641860.0,6883890.0,120440502.0,195815893.0,8371558.0,0.0,43492800.0,28774200.0
91,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
92,-52.8,5.2,0,0.0,0.0,87710.0,8533.0,23814.0,2486.0,10567.0,1433.0,577.0,688.0,540.0,37097666.0,3054583.0,27754470.0,13760742.0,1962688.0,5770.0,40045848.0,26493747.0
93,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
94,-120.6,34.7,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
95,111.0,19.6,4,574000.0,49000.0,158250.0,17500.0,24700.0,3460.0,0.0,0.0,0.0,0.0,3000.0,388721100.0,12143250.0,182532000.0,365638000.0,12628000.0,0.0,0.0,0.0
96,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
97,130.6,30.4,2,130000.0,21000.0,101100.0,12900.0,16900.0,3100.0,0.0,0.0,0.0,0.0,1400.0,164104000.0,7380000.0,29510000.0,14560000.0,2080000.0,0.0,42640000.0,28210000.0
98,-52.8,5.2,4,156640.0,15136.0,90100.0,6545.0,22830.0,2470.0,5750.0,960.0,0.0,0.0,1700.0,93907800.0,2718700.0,86120010.0,172578590.0,6022540.0,57500.0,0.0,0.0
99,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5350.0,1000.0,0.0,0.0,1800.0,94624800.0,2742800.0,86909670.0,174155680.0,6072680.0,53500.0,0.0,0.0
100,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
101,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
102,102.0,28.2,0,0.0,0.0,35000.0,4770.0,6237.0,795.0,3915.0,403.5,776.1,152.55,300.0,13870286.2,1148202.5,10425678.7,5143947.2,734849.6,0.0,15064416.799999999,9966397.7
103,-81.0,28.5,2,406000.0,54400.0,203000.0,27200.0,27200.0,3420.0,0.0,0.0,0.0,0.0,3550.0,673099600.0,22267000.0,0.0,0.0,0.0,0.0,0.0,0.0
104,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
105,40.6,62.8,4,530400.0,39200.0,132600.0,9800.0,35800.0,4000.0,19800.0,2370.0,0.0,0.0,1600.0,245353600.0,7067200.0,223584600.0,448105600.0,15690400.0,198000.0,0.0,0.0
106,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
107,-152.2,57.6,0,0.0,0.0,9250.0,950.0,2100.0,250.0,0.0,0.0,0.0,0.0,44.0,3859000.0,113500.0,3609300.0,7229950.0,249700.0,0.0,0.0,0.0
108,80.4,13.9,6,73200.0,14130.0,138600.0,30100.0,41500.0,5350.0,7625.0,900.0,2250.0,670.0,1125.0,83416350.0,5660625.0,52828225.0,31138100.0,4210800.0,437500.0,71971400.0,47615225.0
